MsgID.STATE,1526666818.5144691,False,False
MsgID.GLOBAL_POSITION,1526666866.6562839,-122.3974477,37.7924797,0.1300000
MsgID.LOCAL_VELOCITY,1526666866.6562839,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6565859,-0.0004382,0.0938492,-0.1262676
MsgID.LOCAL_VELOCITY,1526666866.6565859,0.0000131,0.0000082,0.0000135
MsgID.GLOBAL_POSITION,1526666866.6573770,-122.3974489,37.7924799,0.1260000
MsgID.LOCAL_VELOCITY,1526666866.6573770,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6577878,-122.3974503,37.7924799,0.1220000
MsgID.LOCAL_VELOCITY,1526666866.6577878,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6593390,-0.0086878,-0.0323131,-0.1220965
MsgID.LOCAL_VELOCITY,1526666866.6593390,-0.0000059,-0.0000246,0.0000149
MsgID.STATE,1526666866.6616030,True,True
MsgID.GLOBAL_HOME,1526666866.6619861,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6622100,-122.3974490,37.7924787,0.1190000
MsgID.LOCAL_VELOCITY,1526666866.6622100,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6625040,-0.1386690,0.0859245,-0.1199810
MsgID.LOCAL_VELOCITY,1526666866.6625040,-0.0000051,0.0000026,0.0000113
MsgID.GLOBAL_POSITION,1526666866.6628180,-122.3974502,37.7924792,0.1200000
MsgID.LOCAL_VELOCITY,1526666866.6628180,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6630442,-0.0791519,-0.0229774,-0.1204446
MsgID.LOCAL_VELOCITY,1526666866.6630442,-0.0000220,-0.0000082,0.0000146
MsgID.GLOBAL_POSITION,1526666866.6632750,-122.3974513,37.7924797,0.1210000
MsgID.LOCAL_VELOCITY,1526666866.6632750,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6634760,-0.0286438,-0.1236155,-0.1218549
MsgID.LOCAL_VELOCITY,1526666866.6634760,0.0000134,-0.0000051,0.0000155
MsgID.GLOBAL_POSITION,1526666866.6637499,-122.3974485,37.7924792,0.1210000
MsgID.LOCAL_VELOCITY,1526666866.6637499,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6640351,-0.0820148,0.1256465,-0.1212420
MsgID.LOCAL_VELOCITY,1526666866.6640351,-0.0000007,0.0000098,0.0000149
MsgID.STATE,1526666866.6645551,True,True
MsgID.GLOBAL_HOME,1526666866.6648190,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6650739,-122.3974502,37.7924798,0.1140000
MsgID.LOCAL_VELOCITY,1526666866.6650739,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6653869,-0.0205393,-0.0253349,-0.1148141
MsgID.LOCAL_VELOCITY,1526666866.6653869,0.0000232,0.0000070,0.0000209
MsgID.GLOBAL_POSITION,1526666866.6658020,-122.3974509,37.7924795,0.1000000
MsgID.LOCAL_VELOCITY,1526666866.6658020,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6660450,-0.0516843,-0.0862116,-0.1002366
MsgID.LOCAL_VELOCITY,1526666866.6660450,0.0000027,-0.0000229,0.0000195
MsgID.GLOBAL_POSITION,1526666866.6662400,-122.3974499,37.7924786,0.0750000
MsgID.LOCAL_VELOCITY,1526666866.6662400,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6664121,-0.1490014,0.0007501,-0.0753560
MsgID.LOCAL_VELOCITY,1526666866.6664121,-0.0000167,-0.0000029,0.0000167
MsgID.GLOBAL_POSITION,1526666866.6665909,-122.3974518,37.7924798,0.0420000
MsgID.LOCAL_VELOCITY,1526666866.6665909,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6668448,-0.0173154,-0.1684431,-0.0423795
MsgID.LOCAL_VELOCITY,1526666866.6668448,0.0000297,-0.0000065,0.0000150
MsgID.STATE,1526666866.6671739,True,True
MsgID.GLOBAL_HOME,1526666866.6674318,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6675971,-122.3974510,37.7924799,0.0090000
MsgID.LOCAL_VELOCITY,1526666866.6675971,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6677780,-0.0004382,-0.0964195,-0.0097778
MsgID.LOCAL_VELOCITY,1526666866.6677780,-0.0000034,0.0000134,0.0000157
MsgID.GLOBAL_POSITION,1526666866.6680441,-122.3974490,37.7924798,-0.0230000
MsgID.LOCAL_VELOCITY,1526666866.6680441,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6682789,-0.0133592,0.0833438,0.0239986
MsgID.LOCAL_VELOCITY,1526666866.6682789,-0.0000004,-0.0000028,0.0000084
MsgID.LOCAL_POSITION,1526666866.6684649,-0.0223041,0.0574430,0.0497020
MsgID.LOCAL_VELOCITY,1526666866.6684649,0.0000291,-0.0000006,0.0000173
MsgID.GLOBAL_POSITION,1526666866.6686459,-122.3974493,37.7924797,-0.0490000
MsgID.LOCAL_VELOCITY,1526666866.6686459,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6688168,0.1236904,-0.1324749,0.0659801
MsgID.LOCAL_VELOCITY,1526666866.6688168,0.0000053,-0.0000027,0.0000100
MsgID.GLOBAL_POSITION,1526666866.6690361,-122.3974514,37.7924811,-0.0650000
MsgID.LOCAL_VELOCITY,1526666866.6690361,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,1526666866.6692979,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1526666866.6695309,True,True
MsgID.GLOBAL_POSITION,1526666866.6697118,-122.3974506,37.7924802,-0.0690000
MsgID.LOCAL_VELOCITY,1526666866.6697118,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6699772,0.0317335,-0.0543338,0.0698297
MsgID.LOCAL_VELOCITY,1526666866.6699772,-0.0000006,-0.0000046,0.0000095
MsgID.GLOBAL_POSITION,1526666866.6701801,-122.3974498,37.7924792,-0.0600000
MsgID.LOCAL_VELOCITY,1526666866.6701801,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6703429,-0.0805107,0.0094213,0.0608786
MsgID.LOCAL_VELOCITY,1526666866.6703429,-0.0000187,-0.0000137,0.0000037
